ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785432443.64,17:27:23,baseline,0,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,1,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,2,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,3,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,4,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,5,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,6,0.0,0,16126,0.0
1785432443.64,17:27:23,baseline,7,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,0,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,1,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,2,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,3,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,4,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,5,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,6,0.0,0,16126,0.0
1785432444.64,17:27:24,baseline,7,0.0,0,16126,0.0
1785432445.64,17:27:25,baseline,0,17.0,292,16126,1.8
1785432445.64,17:27:25,baseline,1,17.3,292,16126,1.8
1785432445.64,17:27:25,baseline,2,16.3,292,16126,1.8
1785432445.64,17:27:25,baseline,3,17.2,292,16126,1.8
1785432445.64,17:27:25,baseline,4,16.7,292,16126,1.8
1785432445.64,17:27:25,baseline,5,17.2,293,16126,1.8
1785432445.64,17:27:25,baseline,6,4.3,293,16126,1.8
1785432445.64,17:27:25,baseline,7,17.0,292,16126,1.8
1785432446.64,17:27:26,baseline,0,17.0,292,16126,1.8
1785432446.64,17:27:26,baseline,1,17.3,292,16126,1.8
1785432446.64,17:27:26,baseline,2,16.3,292,16126,1.8
1785432446.64,17:27:26,baseline,3,17.2,292,16126,1.8
1785432446.64,17:27:26,baseline,4,16.7,292,16126,1.8
1785432446.64,17:27:26,baseline,5,17.2,293,16126,1.8
1785432446.64,17:27:26,baseline,6,4.3,293,16126,1.8
1785432446.64,17:27:26,baseline,7,17.0,292,16126,1.8
1785432447.64,17:27:27,baseline,0,17.0,292,16126,1.8
1785432447.64,17:27:27,baseline,1,17.3,292,16126,1.8
1785432447.64,17:27:27,baseline,2,16.3,292,16126,1.8
1785432447.64,17:27:27,baseline,3,17.2,292,16126,1.8
1785432447.64,17:27:27,baseline,4,16.7,292,16126,1.8
1785432447.64,17:27:27,baseline,5,17.2,293,16126,1.8
1785432447.64,17:27:27,baseline,6,4.3,293,16126,1.8
1785432447.64,17:27:27,baseline,7,17.0,292,16126,1.8
1785432448.64,17:27:28,baseline,0,17.0,292,16126,1.8
1785432448.64,17:27:28,baseline,1,17.3,292,16126,1.8
1785432448.64,17:27:28,baseline,2,16.3,292,16126,1.8
1785432448.64,17:27:28,baseline,3,17.2,292,16126,1.8
1785432448.64,17:27:28,baseline,4,16.7,292,16126,1.8
1785432448.64,17:27:28,baseline,5,17.2,293,16126,1.8
1785432448.64,17:27:28,baseline,6,4.3,293,16126,1.8
1785432448.64,17:27:28,baseline,7,17.0,292,16126,1.8
1785432449.64,17:27:29,baseline,0,17.0,292,16126,1.8
1785432449.64,17:27:29,baseline,1,17.3,292,16126,1.8
1785432449.64,17:27:29,baseline,2,16.3,292,16126,1.8
1785432449.64,17:27:29,baseline,3,17.2,292,16126,1.8
1785432449.64,17:27:29,baseline,4,16.7,292,16126,1.8
1785432449.64,17:27:29,baseline,5,17.2,293,16126,1.8
1785432449.64,17:27:29,baseline,6,4.3,293,16126,1.8
1785432449.64,17:27:29,baseline,7,17.0,292,16126,1.8
1785432450.64,17:27:30,baseline,0,12.5,9452,16126,58.6
1785432450.64,17:27:30,baseline,1,15.9,9452,16126,58.6
1785432450.64,17:27:30,baseline,2,14.7,9452,16126,58.6
1785432450.64,17:27:30,baseline,3,9.7,9452,16126,58.6
1785432450.64,17:27:30,baseline,4,14.6,9452,16126,58.6
1785432450.64,17:27:30,baseline,5,15.1,9452,16126,58.6
1785432450.64,17:27:30,baseline,6,16.0,9454,16126,58.6
1785432450.64,17:27:30,baseline,7,17.3,9452,16126,58.6
1785432451.641,17:27:31,baseline,0,12.5,9452,16126,58.6
1785432451.641,17:27:31,baseline,1,15.9,9452,16126,58.6
1785432451.641,17:27:31,baseline,2,14.7,9452,16126,58.6
1785432451.641,17:27:31,baseline,3,9.7,9452,16126,58.6
1785432451.641,17:27:31,baseline,4,14.6,9452,16126,58.6
1785432451.641,17:27:31,baseline,5,15.1,9452,16126,58.6
1785432451.641,17:27:31,baseline,6,16.0,9454,16126,58.6
1785432451.641,17:27:31,baseline,7,17.3,9452,16126,58.6
1785432452.641,17:27:32,baseline,0,12.5,9452,16126,58.6
1785432452.641,17:27:32,baseline,1,15.9,9452,16126,58.6
1785432452.641,17:27:32,baseline,2,14.7,9452,16126,58.6
1785432452.641,17:27:32,baseline,3,9.7,9452,16126,58.6
1785432452.641,17:27:32,baseline,4,14.6,9452,16126,58.6
1785432452.641,17:27:32,baseline,5,15.1,9452,16126,58.6
1785432452.641,17:27:32,baseline,6,16.0,9454,16126,58.6
1785432452.641,17:27:32,baseline,7,17.3,9452,16126,58.6
1785432453.641,17:27:33,baseline,0,12.5,9452,16126,58.6
1785432453.641,17:27:33,baseline,1,15.9,9452,16126,58.6
1785432453.641,17:27:33,baseline,2,14.7,9452,16126,58.6
1785432453.641,17:27:33,baseline,3,9.7,9452,16126,58.6
1785432453.641,17:27:33,baseline,4,14.6,9452,16126,58.6
1785432453.641,17:27:33,baseline,5,15.1,9452,16126,58.6
1785432453.641,17:27:33,baseline,6,16.0,9454,16126,58.6
1785432453.641,17:27:33,baseline,7,17.3,9452,16126,58.6
1785432454.641,17:27:34,baseline,0,12.5,9452,16126,58.6
1785432454.641,17:27:34,baseline,1,15.9,9452,16126,58.6
1785432454.641,17:27:34,baseline,2,14.7,9452,16126,58.6
1785432454.641,17:27:34,baseline,3,9.7,9452,16126,58.6
1785432454.641,17:27:34,baseline,4,14.6,9452,16126,58.6
1785432454.641,17:27:34,baseline,5,15.1,9452,16126,58.6
1785432454.641,17:27:34,baseline,6,16.0,9454,16126,58.6
1785432454.641,17:27:34,baseline,7,17.3,9452,16126,58.6
1785432455.641,17:27:35,baseline,0,39.1,10298,16126,63.9
1785432455.641,17:27:35,baseline,1,39.4,10298,16126,63.9
1785432455.641,17:27:35,baseline,2,38.9,10298,16126,63.9
1785432455.641,17:27:35,baseline,3,38.7,10298,16126,63.9
1785432455.641,17:27:35,baseline,4,38.9,10298,16126,63.9
1785432455.641,17:27:35,baseline,5,38.4,10298,16126,63.9
1785432455.641,17:27:35,baseline,6,38.8,10299,16126,63.9
1785432455.641,17:27:35,baseline,7,39.2,10298,16126,63.9
1785432456.641,17:27:36,baseline,0,39.1,10298,16126,63.9
1785432456.641,17:27:36,baseline,1,39.4,10298,16126,63.9
1785432456.641,17:27:36,baseline,2,38.9,10298,16126,63.9
1785432456.641,17:27:36,baseline,3,38.7,10298,16126,63.9
1785432456.641,17:27:36,baseline,4,38.9,10298,16126,63.9
1785432456.641,17:27:36,baseline,5,38.4,10298,16126,63.9
1785432456.641,17:27:36,baseline,6,38.8,10299,16126,63.9
1785432456.641,17:27:36,baseline,7,39.2,10298,16126,63.9
1785432457.641,17:27:37,baseline,0,39.1,10298,16126,63.9
1785432457.641,17:27:37,baseline,1,39.4,10298,16126,63.9
1785432457.641,17:27:37,baseline,2,38.9,10298,16126,63.9
1785432457.641,17:27:37,baseline,3,38.7,10298,16126,63.9
1785432457.641,17:27:37,baseline,4,38.9,10298,16126,63.9
1785432457.641,17:27:37,baseline,5,38.4,10298,16126,63.9
1785432457.641,17:27:37,baseline,6,38.8,10299,16126,63.9
1785432457.641,17:27:37,baseline,7,39.2,10298,16126,63.9
1785432458.641,17:27:38,baseline,0,39.1,10298,16126,63.9
1785432458.641,17:27:38,baseline,1,39.4,10298,16126,63.9
1785432458.641,17:27:38,baseline,2,38.9,10298,16126,63.9
1785432458.641,17:27:38,baseline,3,38.7,10298,16126,63.9
1785432458.641,17:27:38,baseline,4,38.9,10298,16126,63.9
1785432458.641,17:27:38,baseline,5,38.4,10298,16126,63.9
1785432458.641,17:27:38,baseline,6,38.8,10299,16126,63.9
1785432458.641,17:27:38,baseline,7,39.2,10298,16126,63.9
1785432459.642,17:27:39,baseline,0,39.1,10298,16126,63.9
