ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785432447.593,17:27:27,baseline,0,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,1,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,2,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,3,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,4,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,5,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,6,0.0,0,0,0.0
1785432447.593,17:27:27,baseline,7,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,0,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,1,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,2,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,3,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,4,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,5,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,6,0.0,0,0,0.0
1785432448.594,17:27:28,baseline,7,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,0,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,1,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,2,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,3,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,4,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,5,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,6,0.0,0,0,0.0
1785432449.594,17:27:29,baseline,7,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,0,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,1,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,2,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,3,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,4,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,5,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,6,0.0,0,0,0.0
1785432450.594,17:27:30,baseline,7,0.0,0,0,0.0
1785432451.594,17:27:31,baseline,0,0.0,0,0,0.0
1785432451.594,17:27:31,baseline,1,0.0,0,0,0.0
1785432451.594,17:27:31,baseline,2,0.0,0,0,0.0
