ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785431213.328,17:06:53,timeslice,0,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,1,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,2,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,3,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,4,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,5,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,6,0.0,0,0,0.0
1785431213.328,17:06:53,timeslice,7,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,0,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,1,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,2,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,3,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,4,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,5,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,6,0.0,0,0,0.0
1785431214.328,17:06:54,timeslice,7,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,0,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,1,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,2,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,3,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,4,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,5,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,6,0.0,0,0,0.0
1785431215.328,17:06:55,timeslice,7,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,0,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,1,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,2,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,3,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,4,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,5,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,6,0.0,0,0,0.0
1785431216.328,17:06:56,timeslice,7,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,0,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,1,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,2,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,3,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,4,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,5,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,6,0.0,0,0,0.0
1785431217.328,17:06:57,timeslice,7,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,0,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,1,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,2,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,3,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,4,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,5,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,6,0.0,0,0,0.0
1785431218.328,17:06:58,timeslice,7,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,0,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,1,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,2,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,3,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,4,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,5,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,6,0.0,0,0,0.0
1785431219.328,17:06:59,timeslice,7,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,0,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,1,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,2,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,3,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,4,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,5,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,6,0.0,0,0,0.0
1785431220.329,17:07:00,timeslice,7,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,0,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,1,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,2,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,3,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,4,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,5,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,6,0.0,0,0,0.0
1785431221.329,17:07:01,timeslice,7,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,0,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,1,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,2,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,3,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,4,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,5,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,6,0.0,0,0,0.0
1785431222.329,17:07:02,timeslice,7,0.0,0,0,0.0
