ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785431217.621,17:06:57,timeslice,0,0.0,7389,16126,45.8
1785431217.621,17:06:57,timeslice,1,0.0,7389,16126,45.8
1785431217.621,17:06:57,timeslice,2,0.0,7389,16126,45.8
1785431217.621,17:06:57,timeslice,3,0.0,7389,16126,45.8
1785431217.621,17:06:57,timeslice,4,0.0,7389,16126,45.8
1785431217.621,17:06:57,timeslice,5,0.0,7389,16126,45.8
1785431217.621,17:06:57,timeslice,6,0.0,7390,16126,45.8
1785431217.621,17:06:57,timeslice,7,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,0,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,1,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,2,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,3,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,4,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,5,0.0,7389,16126,45.8
1785431218.621,17:06:58,timeslice,6,0.0,7390,16126,45.8
1785431218.621,17:06:58,timeslice,7,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,0,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,1,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,2,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,3,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,4,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,5,0.0,7389,16126,45.8
1785431219.621,17:06:59,timeslice,6,0.0,7390,16126,45.8
1785431219.621,17:06:59,timeslice,7,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,0,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,1,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,2,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,3,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,4,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,5,0.0,7389,16126,45.8
1785431220.621,17:07:00,timeslice,6,0.0,7390,16126,45.8
1785431220.621,17:07:00,timeslice,7,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,0,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,1,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,2,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,3,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,4,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,5,0.0,7389,16126,45.8
1785431221.621,17:07:01,timeslice,6,0.0,7390,16126,45.8
1785431221.621,17:07:01,timeslice,7,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,0,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,1,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,2,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,3,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,4,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,5,0.0,7389,16126,45.8
1785431222.621,17:07:02,timeslice,6,0.0,7390,16126,45.8
1785431222.621,17:07:02,timeslice,7,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,0,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,1,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,2,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,3,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,4,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,5,0.0,7389,16126,45.8
1785431223.621,17:07:03,timeslice,6,0.0,7390,16126,45.8
1785431223.621,17:07:03,timeslice,7,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,0,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,1,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,2,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,3,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,4,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,5,0.0,7389,16126,45.8
1785431224.622,17:07:04,timeslice,6,0.0,7390,16126,45.8
1785431224.622,17:07:04,timeslice,7,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,0,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,1,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,2,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,3,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,4,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,5,0.0,7389,16126,45.8
1785431225.622,17:07:05,timeslice,6,0.0,7390,16126,45.8
1785431225.622,17:07:05,timeslice,7,0.0,7389,16126,45.8
1785431226.622,17:07:06,timeslice,0,0.0,7389,16126,45.8
1785431226.622,17:07:06,timeslice,1,0.0,7389,16126,45.8
1785431226.622,17:07:06,timeslice,2,0.0,7389,16126,45.8
1785431226.622,17:07:06,timeslice,3,0.0,7389,16126,45.8
1785431226.622,17:07:06,timeslice,4,0.0,7389,16126,45.8
