ts,wall,phase,chip,duty_cycle_pct,mem_used_mib,mem_total_mib,mem_pct
1785431221.698,17:07:01,timeslice,0,94.8,5625,16126,34.9
1785431221.698,17:07:01,timeslice,1,94.4,6364,16126,39.5
1785431221.698,17:07:01,timeslice,2,95.2,5762,16126,35.7
1785431221.698,17:07:01,timeslice,3,95.6,5772,16126,35.8
1785431221.698,17:07:01,timeslice,4,95.2,6663,16126,41.3
1785431221.698,17:07:01,timeslice,5,94.2,5772,16126,35.8
1785431221.698,17:07:01,timeslice,6,96.6,5551,16126,34.4
1785431221.698,17:07:01,timeslice,7,90.5,5774,16126,35.8
1785431222.698,17:07:02,timeslice,0,94.8,5625,16126,34.9
1785431222.698,17:07:02,timeslice,1,94.4,6364,16126,39.5
1785431222.698,17:07:02,timeslice,2,95.2,5762,16126,35.7
1785431222.698,17:07:02,timeslice,3,95.6,5772,16126,35.8
1785431222.698,17:07:02,timeslice,4,95.2,6663,16126,41.3
1785431222.698,17:07:02,timeslice,5,94.2,5772,16126,35.8
1785431222.698,17:07:02,timeslice,6,96.6,5551,16126,34.4
1785431222.698,17:07:02,timeslice,7,90.5,5774,16126,35.8
1785431223.698,17:07:03,timeslice,0,94.8,5625,16126,34.9
1785431223.698,17:07:03,timeslice,1,94.4,6364,16126,39.5
1785431223.698,17:07:03,timeslice,2,95.2,5762,16126,35.7
1785431223.698,17:07:03,timeslice,3,95.6,5772,16126,35.8
1785431223.698,17:07:03,timeslice,4,95.2,6663,16126,41.3
1785431223.698,17:07:03,timeslice,5,94.2,5772,16126,35.8
1785431223.698,17:07:03,timeslice,6,96.6,5551,16126,34.4
1785431223.698,17:07:03,timeslice,7,90.5,5774,16126,35.8
1785431224.698,17:07:04,timeslice,0,94.8,5625,16126,34.9
1785431224.698,17:07:04,timeslice,1,94.4,6364,16126,39.5
1785431224.698,17:07:04,timeslice,2,95.2,5762,16126,35.7
1785431224.698,17:07:04,timeslice,3,95.6,5772,16126,35.8
1785431224.698,17:07:04,timeslice,4,95.2,6663,16126,41.3
1785431224.698,17:07:04,timeslice,5,94.2,5772,16126,35.8
1785431224.698,17:07:04,timeslice,6,96.6,5551,16126,34.4
1785431224.698,17:07:04,timeslice,7,90.5,5774,16126,35.8
1785431225.698,17:07:05,timeslice,0,94.8,5625,16126,34.9
1785431225.698,17:07:05,timeslice,1,94.4,6364,16126,39.5
1785431225.698,17:07:05,timeslice,2,95.2,5762,16126,35.7
